设备名,识别内容的名称,识别图像（矩形）左下角X值,识别图像（矩形）左下角Y值,识别图像（矩形）左上角X值,识别图像（矩形）左上角Y值,识别图像（矩形）右上角X值,识别图像（矩形）右上角Y值,识别图像（矩形）右下角X值,识别图像（矩形）右下角Y值
i5-12490F+RTX 2060s,红方队员,252,393,252,542,299,542,299,393
i5-12490F+RTX 2060s,红方队员,269,462,269,554,307,554,307,462
i5-12490F+RTX 2060s,足球,367,515,367,633,418,633,418,515
i5-12490F+RTX 2060s,足球,858,77,858,157,890,157,890,77
i5-12490F+RTX 2060s,红方队员,1904,97,1904,176,1918,176,1918,97
i5-12490F+RTX 2060s,足球,1002,152,1002,235,1038,235,1038,152
i5-12490F+RTX 2060s,红方队员,755,177,755,262,789,262,789,177
i5-12490F+RTX 2060s,足球,259,201,259,283,293,283,293,201
i5-12490F+RTX 2060s,红方队员,1391,188,1391,282,1431,282,1431,188
i5-12490F+RTX 2060s,足球,736,239,736,329,777,329,777,239
i5-12490F+RTX 2060s,红方队员,250,266,250,370,291,370,291,266
i5-12490F+RTX 2060s,足球,285,269,285,367,342,367,342,269
i5-12490F+RTX 2060s,红方队员,1793,292,1793,396,1835,396,1835,292
i5-12490F+RTX 2060s,足球,1539,325,1539,434,1577,434,1577,325
i5-12490F+RTX 2060s,足球,888,373,888,482,933,482,933,373
i5-12490F+RTX 2060s,足球,247,403,247,490,294,490,294,403
i5-12490F+RTX 2060s,蓝方队员,694,389,694,503,738,503,738,389
i5-12490F+RTX 2060s,红方队员,268,461,268,552,307,552,307,461
i5-12490F+RTX 2060s,足球,361,513,361,629,410,629,410,513
i5-12490F+RTX 2060s,红方队员,1895,558,1895,718,1919,718,1919,558
i5-12490F+RTX 2060s,足球,860,75,860,156,890,156,890,75
i5-12490F+RTX 2060s,红方队员,1885,98,1885,181,1918,181,1918,98
i5-12490F+RTX 2060s,足球,994,151,994,231,1032,231,1032,151
i5-12490F+RTX 2060s,红方队员,752,177,752,257,788,257,788,177
i5-12490F+RTX 2060s,足球,256,200,256,282,292,282,292,200
i5-12490F+RTX 2060s,红方队员,1387,184,1387,279,1427,279,1427,184
i5-12490F+RTX 2060s,足球,736,236,736,329,776,329,776,236
i5-12490F+RTX 2060s,红方队员,247,266,247,368,291,368,291,266
i5-12490F+RTX 2060s,足球,283,270,283,368,338,368,338,270
i5-12490F+RTX 2060s,红方队员,1781,291,1781,393,1822,393,1822,291
i5-12490F+RTX 2060s,足球,1534,327,1534,433,1576,433,1576,327
i5-12490F+RTX 2060s,足球,880,370,880,477,925,477,925,370
i5-12490F+RTX 2060s,足球,243,398,243,490,288,490,288,398
i5-12490F+RTX 2060s,蓝方队员,687,386,687,503,737,503,737,386
i5-12490F+RTX 2060s,红方队员,268,460,268,553,307,553,307,460
i5-12490F+RTX 2060s,足球,356,508,356,624,401,624,401,508
i5-12490F+RTX 2060s,足球,1891,564,1891,736,1918,736,1918,564
i5-12490F+RTX 2060s,足球,858,74,858,155,889,155,889,74
i5-12490F+RTX 2060s,红方队员,1879,102,1879,177,1918,177,1918,102
i5-12490F+RTX 2060s,足球,989,150,989,229,1027,229,1027,150
i5-12490F+RTX 2060s,红方队员,747,171,747,255,786,255,786,171
i5-12490F+RTX 2060s,足球,254,200,254,279,292,279,292,200
i5-12490F+RTX 2060s,红方队员,1378,186,1378,284,1412,284,1412,186
i5-12490F+RTX 2060s,足球,733,234,733,327,769,327,769,234
i5-12490F+RTX 2060s,红方队员,247,264,247,368,296,368,296,264
i5-12490F+RTX 2060s,足球,277,267,277,367,336,367,336,267
i5-12490F+RTX 2060s,红方队员,1773,290,1773,389,1823,389,1823,290
i5-12490F+RTX 2060s,足球,1525,326,1525,431,1566,431,1566,326
i5-12490F+RTX 2060s,足球,877,367,877,476,921,476,921,367
i5-12490F+RTX 2060s,足球,241,395,241,490,287,490,287,395
i5-12490F+RTX 2060s,蓝方队员,680,387,680,501,731,501,731,387
i5-12490F+RTX 2060s,红方队员,264,455,264,553,306,553,306,455
i5-12490F+RTX 2060s,足球,348,506,348,625,401,625,401,506
i5-12490F+RTX 2060s,红方队员,1888,563,1888,736,1918,736,1918,563
i5-12490F+RTX 2060s,足球,860,79,860,145,885,145,885,79
i5-12490F+RTX 2060s,红方队员,1872,104,1872,174,1918,174,1918,104
i5-12490F+RTX 2060s,足球,987,151,987,226,1023,226,1023,151
i5-12490F+RTX 2060s,红方队员,737,168,737,259,782,259,782,168
i5-12490F+RTX 2060s,足球,253,201,253,280,292,280,292,201
i5-12490F+RTX 2060s,红方队员,1374,185,1374,282,1409,282,1409,185
i5-12490F+RTX 2060s,足球,731,225,731,328,768,328,768,225
i5-12490F+RTX 2060s,红方队员,249,259,249,369,312,369,312,259
i5-12490F+RTX 2060s,红方队员,1767,289,1767,387,1818,387,1818,289
i5-12490F+RTX 2060s,足球,1522,329,1522,432,1563,432,1563,329
i5-12490F+RTX 2060s,足球,871,367,871,472,918,472,918,367
i5-12490F+RTX 2060s,足球,235,394,235,496,286,496,286,394
i5-12490F+RTX 2060s,蓝方队员,670,385,670,498,721,498,721,385
i5-12490F+RTX 2060s,红方队员,260,454,260,550,307,550,307,454
i5-12490F+RTX 2060s,足球,331,504,331,623,390,623,390,504
i5-12490F+RTX 2060s,红方队员,1886,562,1886,738,1917,738,1917,562
i5-12490F+RTX 2060s,足球,860,78,860,142,886,142,886,78
i5-12490F+RTX 2060s,红方队员,1862,102,1862,174,1915,174,1915,102
i5-12490F+RTX 2060s,红方队员,731,165,731,243,776,243,776,165
i5-12490F+RTX 2060s,足球,985,151,985,226,1020,226,1020,151
i5-12490F+RTX 2060s,足球,249,202,249,280,293,280,293,202
i5-12490F+RTX 2060s,红方队员,1370,187,1370,279,1405,279,1405,187
i5-12490F+RTX 2060s,足球,728,227,728,326,765,326,765,227
i5-12490F+RTX 2060s,红方队员,249,259,249,369,318,369,318,259
i5-12490F+RTX 2060s,红方队员,1759,290,1759,383,1815,383,1815,290
i5-12490F+RTX 2060s,足球,1515,330,1515,434,1557,434,1557,330
i5-12490F+RTX 2060s,足球,867,366,867,475,919,475,919,366
i5-12490F+RTX 2060s,足球,230,391,230,500,275,500,275,391
i5-12490F+RTX 2060s,蓝方队员,661,385,661,496,718,496,718,385
i5-12490F+RTX 2060s,红方队员,252,441,252,545,303,545,303,441
i5-12490F+RTX 2060s,足球,330,499,330,617,388,617,388,499
i5-12490F+RTX 2060s,红方队员,1884,572,1884,705,1919,705,1919,572
i5-12490F+RTX 2060s,足球,860,76,860,143,886,143,886,76
i5-12490F+RTX 2060s,红方队员,1846,96,1846,172,1902,172,1902,96
i5-12490F+RTX 2060s,红方队员,725,165,725,238,768,238,768,165
i5-12490F+RTX 2060s,足球,981,152,981,226,1019,226,1019,152
i5-12490F+RTX 2060s,足球,246,201,246,277,291,277,291,201
i5-12490F+RTX 2060s,红方队员,1360,184,1360,279,1399,279,1399,184
i5-12490F+RTX 2060s,足球,724,205,724,319,766,319,766,205
i5-12490F+RTX 2060s,红方队员,250,258,250,370,314,370,314,258
i5-12490F+RTX 2060s,红方队员,1752,291,1752,382,1808,382,1808,291
i5-12490F+RTX 2060s,足球,1509,328,1509,434,1552,434,1552,328
i5-12490F+RTX 2060s,足球,858,366,858,477,902,477,902,366
i5-12490F+RTX 2060s,足球,225,393,225,501,270,501,270,393
i5-12490F+RTX 2060s,蓝方队员,655,385,655,499,705,499,705,385
i5-12490F+RTX 2060s,红方队员,250,440,250,542,299,542,299,440
i5-12490F+RTX 2060s,足球,324,500,324,614,381,614,381,500
i5-12490F+RTX 2060s,红方队员,1880,576,1880,701,1919,701,1919,576
i5-12490F+RTX 2060s,足球,858,77,858,142,886,142,886,77
i5-12490F+RTX 2060s,红方队员,1836,95,1836,169,1890,169,1890,95
i5-12490F+RTX 2060s,红方队员,722,165,722,235,762,235,762,165
i5-12490F+RTX 2060s,足球,975,149,975,229,1008,229,1008,149
i5-12490F+RTX 2060s,红方队员,1357,182,1357,267,1396,267,1396,182
i5-12490F+RTX 2060s,足球,244,198,244,274,292,274,292,198
i5-12490F+RTX 2060s,足球,721,201,721,317,765,317,765,201
i5-12490F+RTX 2060s,红方队员,249,259,249,367,309,367,309,259
i5-12490F+RTX 2060s,红方队员,1748,291,1748,390,1784,390,1784,291
i5-12490F+RTX 2060s,足球,1506,327,1506,434,1547,434,1547,327
i5-12490F+RTX 2060s,足球,856,366,856,477,898,477,898,366
i5-12490F+RTX 2060s,足球,223,394,223,501,266,501,266,394
i5-12490F+RTX 2060s,蓝方队员,652,387,652,501,699,501,699,387
i5-12490F+RTX 2060s,红方队员,252,443,252,539,299,539,299,443
i5-12490F+RTX 2060s,足球,318,500,318,610,372,610,372,500
i5-12490F+RTX 2060s,足球,859,78,859,141,886,141,886,78
i5-12490F+RTX 2060s,红方队员,1831,95,1831,168,1875,168,1875,95
i5-12490F+RTX 2060s,足球,967,145,967,223,1005,223,1005,145
i5-12490F+RTX 2060s,红方队员,721,163,721,240,760,240,760,163
i5-12490F+RTX 2060s,红方队员,1352,180,1352,270,1391,270,1391,180
i5-12490F+RTX 2060s,足球,242,196,242,271,287,271,287,196
i5-12490F+RTX 2060s,足球,715,210,715,315,753,315,753,210
i5-12490F+RTX 2060s,红方队员,245,255,245,360,303,360,303,255
i5-12490F+RTX 2060s,红方队员,1741,291,1741,389,1782,389,1782,291
i5-12490F+RTX 2060s,足球,1503,325,1503,434,1542,434,1542,325
i5-12490F+RTX 2060s,足球,848,368,848,478,892,478,892,368
i5-12490F+RTX 2060s,足球,220,395,220,494,266,494,266,395
i5-12490F+RTX 2060s,蓝方队员,643,391,643,499,694,499,694,391
i5-12490F+RTX 2060s,红方队员,247,443,247,541,296,541,296,443
i5-12490F+RTX 2060s,足球,314,500,314,611,363,611,363,500
i5-12490F+RTX 2060s,红方队员,1880,576,1880,695,1920,695,1920,576
i5-12490F+RTX 2060s,足球,856,73,856,141,886,141,886,73
i5-12490F+RTX 2060s,红方队员,1824,95,1824,177,1857,177,1857,95
i5-12490F+RTX 2060s,红方队员,716,163,716,241,751,241,751,163
i5-12490F+RTX 2060s,足球,958,148,958,229,1003,229,1003,148
i5-12490F+RTX 2060s,红方队员,1335,178,1335,271,1380,271,1380,178
i5-12490F+RTX 2060s,足球,243,195,243,273,286,273,286,195
i5-12490F+RTX 2060s,足球,712,149,712,329,756,329,756,149
i5-12490F+RTX 2060s,红方队员,244,255,244,358,300,358,300,255
i5-12490F+RTX 2060s,红方队员,1730,291,1730,387,1774,387,1774,291
i5-12490F+RTX 2060s,足球,1503,323,1503,433,1540,433,1540,323
i5-12490F+RTX 2060s,足球,845,365,845,478,884,478,884,365
i5-12490F+RTX 2060s,足球,217,396,217,492,264,492,264,396
i5-12490F+RTX 2060s,蓝方队员,638,388,638,498,679,498,679,388
i5-12490F+RTX 2060s,红方队员,247,442,247,537,292,537,292,442
i5-12490F+RTX 2060s,足球,304,498,304,612,352,612,352,498
i5-12490F+RTX 2060s,红方队员,1876,578,1876,683,1920,683,1920,578
i5-12490F+RTX 2060s,足球,855,73,855,138,884,138,884,73
i5-12490F+RTX 2060s,红方队员,1812,93,1812,177,1852,177,1852,93
i5-12490F+RTX 2060s,足球,954,144,954,224,994,224,994,144
i5-12490F+RTX 2060s,红方队员,713,160,713,240,751,240,751,160
i5-12490F+RTX 2060s,红方队员,1331,180,1331,269,1375,269,1375,180
i5-12490F+RTX 2060s,足球,1354,183,1354,265,1387,265,1387,183
i5-12490F+RTX 2060s,足球,243,194,243,276,282,276,282,194
i5-12490F+RTX 2060s,足球,706,226,706,319,750,319,750,226
i5-12490F+RTX 2060s,红方队员,246,254,246,357,295,357,295,254
i5-12490F+RTX 2060s,红方队员,1724,288,1724,386,1768,386,1768,288
i5-12490F+RTX 2060s,足球,1499,318,1499,433,1539,433,1539,318
i5-12490F+RTX 2060s,足球,842,364,842,476,882,476,882,364
i5-12490F+RTX 2060s,足球,214,391,214,490,258,490,258,391
i5-12490F+RTX 2060s,蓝方队员,635,381,635,498,679,498,679,381
i5-12490F+RTX 2060s,红方队员,247,439,247,538,290,538,290,439
i5-12490F+RTX 2060s,足球,297,493,297,610,348,610,348,493
i5-12490F+RTX 2060s,红方队员,1874,578,1874,683,1920,683,1920,578
i5-12490F+RTX 2060s,足球,847,64,847,136,889,136,889,64
i5-12490F+RTX 2060s,红方队员,1802,95,1802,172,1848,172,1848,95
i5-12490F+RTX 2060s,足球,949,146,949,220,984,220,984,146
i5-12490F+RTX 2060s,红方队员,707,158,707,237,745,237,745,158
i5-12490F+RTX 2060s,红方队员,1328,180,1328,265,1369,265,1369,180
i5-12490F+RTX 2060s,足球,244,194,244,274,279,274,279,194
i5-12490F+RTX 2060s,足球,700,225,700,320,747,320,747,225
i5-12490F+RTX 2060s,红方队员,242,255,242,361,297,361,297,255
i5-12490F+RTX 2060s,红方队员,1719,285,1719,384,1764,384,1764,285
i5-12490F+RTX 2060s,足球,1496,317,1496,425,1535,425,1535,317
i5-12490F+RTX 2060s,足球,836,357,836,468,876,468,876,357
i5-12490F+RTX 2060s,蓝方队员,624,379,624,486,671,486,671,379
i5-12490F+RTX 2060s,足球,209,387,209,494,253,494,253,387
i5-12490F+RTX 2060s,红方队员,243,436,243,539,288,539,288,436
i5-12490F+RTX 2060s,足球,288,487,288,605,342,605,342,487
i5-12490F+RTX 2060s,红方队员,1876,579,1876,683,1918,683,1918,579
i5-12490F+RTX 2060s,足球,844,64,844,136,887,136,887,64
i5-12490F+RTX 2060s,红方队员,1789,93,1789,172,1843,172,1843,93
i5-12490F+RTX 2060s,足球,946,144,946,220,979,220,979,144
i5-12490F+RTX 2060s,红方队员,698,157,698,233,738,233,738,157
i5-12490F+RTX 2060s,足球,1332,183,1332,262,1365,262,1365,183
i5-12490F+RTX 2060s,足球,244,191,244,276,279,276,279,191
i5-12490F+RTX 2060s,足球,700,217,700,314,745,314,745,217
i5-12490F+RTX 2060s,红方队员,239,251,239,360,297,360,297,251
i5-12490F+RTX 2060s,红方队员,1718,284,1718,383,1762,383,1762,284
i5-12490F+RTX 2060s,足球,1491,320,1491,422,1529,422,1529,320
i5-12490F+RTX 2060s,足球,832,355,832,470,874,470,874,355
i5-12490F+RTX 2060s,蓝方队员,618,377,618,484,665,484,665,377
i5-12490F+RTX 2060s,足球,207,392,207,494,249,494,249,392
i5-12490F+RTX 2060s,红方队员,240,433,240,534,285,534,285,433
i5-12490F+RTX 2060s,足球,282,485,282,603,338,603,338,485
i5-12490F+RTX 2060s,红方队员,1878,577,1878,684,1918,684,1918,577
i5-12490F+RTX 2060s,足球,843,63,843,134,886,134,886,63
i5-12490F+RTX 2060s,红方队员,1775,95,1775,170,1827,170,1827,95
i5-12490F+RTX 2060s,足球,938,141,938,220,968,220,968,141
i5-12490F+RTX 2060s,红方队员,692,154,692,233,729,233,729,154
i5-12490F+RTX 2060s,足球,1332,182,1332,260,1364,260,1364,182
i5-12490F+RTX 2060s,红方队员,1309,190,1309,272,1339,272,1339,190
i5-12490F+RTX 2060s,足球,696,214,696,316,738,316,738,214
i5-12490F+RTX 2060s,足球,242,270,242,359,302,359,302,270
i5-12490F+RTX 2060s,红方队员,1703,280,1703,377,1751,377,1751,280
i5-12490F+RTX 2060s,足球,1485,319,1485,421,1528,421,1528,319
i5-12490F+RTX 2060s,足球,819,357,819,465,863,465,863,357
i5-12490F+RTX 2060s,蓝方队员,615,376,615,484,661,484,661,376
i5-12490F+RTX 2060s,足球,204,393,204,495,246,495,246,393
i5-12490F+RTX 2060s,红方队员,238,433,238,531,286,531,286,433
i5-12490F+RTX 2060s,足球,276,483,276,602,331,602,331,483
i5-12490F+RTX 2060s,红方队员,1875,577,1875,679,1917,679,1917,577
i5-12490F+RTX 2060s,足球,842,64,842,134,885,134,885,64
i5-12490F+RTX 2060s,红方队员,1767,95,1767,168,1811,168,1811,95
i5-12490F+RTX 2060s,足球,929,140,929,222,964,222,964,140
i5-12490F+RTX 2060s,红方队员,689,153,689,241,723,241,723,153
i5-12490F+RTX 2060s,足球,236,184,236,264,269,264,269,184
i5-12490F+RTX 2060s,红方队员,1305,181,1305,266,1337,266,1337,181
i5-12490F+RTX 2060s,足球,1329,180,1329,262,1361,262,1361,180
i5-12490F+RTX 2060s,足球,694,216,694,314,732,314,732,216
i5-12490F+RTX 2060s,足球,237,254,237,357,294,357,294,254
i5-12490F+RTX 2060s,红方队员,1695,279,1695,378,1751,378,1751,279
i5-12490F+RTX 2060s,足球,1480,317,1480,425,1526,425,1526,317
i5-12490F+RTX 2060s,足球,811,355,811,462,864,462,864,355
i5-12490F+RTX 2060s,蓝方队员,606,378,606,484,657,484,657,378
i5-12490F+RTX 2060s,足球,198,386,198,493,233,493,233,386
i5-12490F+RTX 2060s,红方队员,230,430,230,512,273,512,273,430
i5-12490F+RTX 2060s,足球,272,485,272,599,330,599,330,485
i5-12490F+RTX 2060s,红方队员,1868,567,1868,671,1912,671,1912,567
i5-12490F+RTX 2060s,红方队员,1097,14,1097,99,1140,99,1140,14
i5-12490F+RTX 2060s,足球,842,62,842,133,886,133,886,62
i5-12490F+RTX 2060s,红方队员,1760,94,1760,169,1799,169,1799,94
i5-12490F+RTX 2060s,足球,918,140,918,220,960,220,960,140
i5-12490F+RTX 2060s,红方队员,685,151,685,238,720,238,720,151
i5-12490F+RTX 2060s,红方队员,1297,181,1297,264,1331,264,1331,181
i5-12490F+RTX 2060s,足球,1323,181,1323,263,1353,263,1353,181
i5-12490F+RTX 2060s,足球,692,213,692,309,728,309,728,213
i5-12490F+RTX 2060s,足球,239,247,239,355,288,355,288,247
i5-12490F+RTX 2060s,红方队员,1690,281,1690,377,1738,377,1738,281
i5-12490F+RTX 2060s,足球,1475,317,1475,423,1521,423,1521,317
i5-12490F+RTX 2060s,足球,807,354,807,461,861,461,861,354
i5-12490F+RTX 2060s,蓝方队员,599,379,599,480,642,480,642,379
i5-12490F+RTX 2060s,足球,194,386,194,493,232,493,232,386
i5-12490F+RTX 2060s,红方队员,228,427,228,513,274,513,274,427
i5-12490F+RTX 2060s,足球,261,482,261,589,314,589,314,482
i5-12490F+RTX 2060s,红方队员,1864,565,1864,671,1911,671,1911,565
i5-12490F+RTX 2060s,足球,841,57,841,133,880,133,880,57
i5-12490F+RTX 2060s,红方队员,1749,94,1749,172,1785,172,1785,94
i5-12490F+RTX 2060s,红方队员,679,147,679,206,713,206,713,147
i5-12490F+RTX 2060s,足球,914,137,914,216,947,216,947,137
i5-12490F+RTX 2060s,红方队员,1289,180,1289,263,1326,263,1326,180
i5-12490F+RTX 2060s,足球,1320,183,1320,260,1352,260,1352,183
i5-12490F+RTX 2060s,足球,229,186,229,291,270,291,270,186
i5-12490F+RTX 2060s,足球,688,213,688,304,726,304,726,213
i5-12490F+RTX 2060s,足球,224,241,224,354,276,354,276,241
i5-12490F+RTX 2060s,红方队员,1683,280,1683,376,1727,376,1727,280
i5-12490F+RTX 2060s,足球,1472,318,1472,421,1516,421,1516,318
i5-12490F+RTX 2060s,足球,802,358,802,460,853,460,853,358
i5-12490F+RTX 2060s,蓝方队员,595,380,595,479,639,479,639,380
i5-12490F+RTX 2060s,足球,191,386,191,494,229,494,229,386
i5-12490F+RTX 2060s,红方队员,228,428,228,514,274,514,274,428
i5-12490F+RTX 2060s,足球,256,484,256,590,310,590,310,484
i5-12490F+RTX 2060s,红方队员,1862,562,1862,669,1913,669,1913,562
i5-12490F+RTX 2060s,足球,841,54,841,134,877,134,877,54
i5-12490F+RTX 2060s,红方队员,1740,94,1740,172,1779,172,1779,94
i5-12490F+RTX 2060s,足球,909,134,909,214,943,214,943,134
i5-12490F+RTX 2060s,红方队员,674,145,674,240,713,240,713,145
i5-12490F+RTX 2060s,红方队员,1286,179,1286,265,1325,265,1325,179
i5-12490F+RTX 2060s,足球,1319,181,1319,259,1350,259,1350,181
i5-12490F+RTX 2060s,足球,230,182,230,297,272,297,272,182
i5-12490F+RTX 2060s,足球,685,216,685,304,723,304,723,216
i5-12490F+RTX 2060s,足球,222,243,222,355,269,355,269,243
i5-12490F+RTX 2060s,红方队员,1683,282,1683,376,1722,376,1722,282
i5-12490F+RTX 2060s,足球,1468,317,1468,419,1511,419,1511,317
i5-12490F+RTX 2060s,足球,797,355,797,463,848,463,848,355
i5-12490F+RTX 2060s,足球,186,380,186,481,227,481,227,380
i5-12490F+RTX 2060s,蓝方队员,588,378,588,483,631,483,631,378
i5-12490F+RTX 2060s,红方队员,223,426,223,517,273,517,273,426
i5-12490F+RTX 2060s,足球,248,478,248,591,299,591,299,478
i5-12490F+RTX 2060s,红方队员,1852,555,1852,673,1903,673,1903,555
i5-12490F+RTX 2060s,红方队员,1726,92,1726,168,1773,168,1773,92
i5-12490F+RTX 2060s,红方队员,663,140,663,226,706,226,706,140
i5-12490F+RTX 2060s,足球,904,130,904,218,932,218,932,130
i5-12490F+RTX 2060s,足球,228,182,228,266,267,266,267,182
i5-12490F+RTX 2060s,红方队员,1270,175,1270,265,1304,265,1304,175
i5-12490F+RTX 2060s,足球,1288,176,1288,261,1331,261,1331,176
i5-12490F+RTX 2060s,足球,679,217,679,303,714,303,714,217
i5-12490F+RTX 2060s,足球,223,242,223,354,264,354,264,242
i5-12490F+RTX 2060s,红方队员,1677,280,1677,373,1706,373,1706,280
i5-12490F+RTX 2060s,足球,1468,313,1468,418,1508,418,1508,313
i5-12490F+RTX 2060s,足球,794,353,794,461,843,461,843,353
i5-12490F+RTX 2060s,足球,181,377,181,479,226,479,226,377
i5-12490F+RTX 2060s,蓝方队员,585,377,585,482,623,482,623,377
i5-12490F+RTX 2060s,红方队员,221,425,221,517,269,517,269,425
i5-12490F+RTX 2060s,足球,245,475,245,595,293,595,293,475
i5-12490F+RTX 2060s,红方队员,1848,553,1848,670,1903,670,1903,553
i5-12490F+RTX 2060s,足球,840,59,840,123,866,123,866,59
i5-12490F+RTX 2060s,红方队员,1717,89,1717,169,1768,169,1768,89
i5-12490F+RTX 2060s,红方队员,658,138,658,221,696,221,696,138
i5-12490F+RTX 2060s,足球,902,132,902,216,930,216,930,132
i5-12490F+RTX 2060s,足球,226,180,226,263,265,263,265,180
i5-12490F+RTX 2060s,红方队员,1266,175,1266,264,1302,264,1302,175
i5-12490F+RTX 2060s,足球,1291,176,1291,257,1330,257,1330,176
i5-12490F+RTX 2060s,足球,679,217,679,302,711,302,711,217
i5-12490F+RTX 2060s,足球,219,242,219,349,262,349,262,242
i5-12490F+RTX 2060s,红方队员,1669,278,1669,377,1700,377,1700,278
i5-12490F+RTX 2060s,足球,1466,309,1466,419,1503,419,1503,309
i5-12490F+RTX 2060s,足球,791,350,791,458,840,458,840,350
i5-12490F+RTX 2060s,足球,179,375,179,480,223,480,223,375
i5-12490F+RTX 2060s,蓝方队员,580,374,580,481,617,481,617,374
i5-12490F+RTX 2060s,红方队员,217,428,217,513,264,513,264,428
i5-12490F+RTX 2060s,足球,242,471,242,594,286,594,286,471
i5-12490F+RTX 2060s,红方队员,1847,554,1847,670,1901,670,1901,554
i5-12490F+RTX 2060s,红方队员,1711,93,1711,165,1765,165,1765,93
i5-12490F+RTX 2060s,红方队员,651,139,651,223,689,223,689,139
i5-12490F+RTX 2060s,足球,893,132,893,214,924,214,924,132
i5-12490F+RTX 2060s,足球,222,177,222,260,262,260,262,177
i5-12490F+RTX 2060s,红方队员,1260,173,1260,260,1294,260,1294,173
i5-12490F+RTX 2060s,足球,1286,172,1286,251,1321,251,1321,172
i5-12490F+RTX 2060s,足球,675,219,675,303,708,303,708,219
i5-12490F+RTX 2060s,足球,212,242,212,350,258,350,258,242
i5-12490F+RTX 2060s,红方队员,1663,275,1663,378,1696,378,1696,275
i5-12490F+RTX 2060s,足球,1466,306,1466,413,1500,413,1500,306
i5-12490F+RTX 2060s,足球,781,344,781,459,830,459,830,344
i5-12490F+RTX 2060s,足球,175,370,175,477,218,477,218,370
i5-12490F+RTX 2060s,蓝方队员,573,374,573,480,619,480,619,374
i5-12490F+RTX 2060s,红方队员,215,424,215,511,259,511,259,424
i5-12490F+RTX 2060s,足球,229,458,229,593,279,593,279,458
i5-12490F+RTX 2060s,红方队员,1842,554,1842,669,1897,669,1897,554
i5-12490F+RTX 2060s,红方队员,1700,92,1700,166,1736,166,1736,92
i5-12490F+RTX 2060s,红方队员,647,140,647,223,686,223,686,140
i5-12490F+RTX 2060s,足球,883,131,883,213,914,213,914,131
i5-12490F+RTX 2060s,足球,215,173,215,261,260,261,260,173
i5-12490F+RTX 2060s,红方队员,1253,175,1253,262,1289,262,1289,175
